Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.47it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.55it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.27it/s]
{"update": 54, "examples_seen": 432, "supervised_tokens": 1602, "loss": 0.0004815497163690452, "gradient_norm": 0.11363919824361801, "learning_rate": 0.0001, "seconds": 3.13233320300003, "elapsed_training_seconds": 168.0693062759999}
{"update": 55, "examples_seen": 440, "supervised_tokens": 1144, "loss": 1.4438944845096557e-05, "gradient_norm": 0.00020808496628887951, "learning_rate": 0.0001, "seconds": 3.155121982999958, "elapsed_training_seconds": 171.22595816699993}
{"update": 56, "examples_seen": 448, "supervised_tokens": 1475, "loss": 2.3411229449266102e-05, "gradient_norm": 0.000430991523899138, "learning_rate": 0.0001, "seconds": 3.105554730999984, "elapsed_training_seconds": 174.3329052649999}
{"update": 57, "examples_seen": 456, "supervised_tokens": 1585, "loss": 7.135564578675258e-05, "gradient_norm": 0.005673508625477552, "learning_rate": 0.0001, "seconds": 3.0962346599999364, "elapsed_training_seconds": 177.430623911}
{"update": 58, "examples_seen": 464, "supervised_tokens": 1670, "loss": 2.3519178057540557e-05, "gradient_norm": 0.0007110501755960286, "learning_rate": 0.0001, "seconds": 3.2207077460000164, "elapsed_training_seconds": 180.65265951999993}
{"update": 59, "examples_seen": 472, "supervised_tokens": 1593, "loss": 1.0670952178770676e-05, "gradient_norm": 0.00015938770957291126, "learning_rate": 0.0001, "seconds": 3.1567724330000146, "elapsed_training_seconds": 183.81108180499996}
{"update": 60, "examples_seen": 480, "supervised_tokens": 1437, "loss": 1.3945723367214669e-05, "gradient_norm": 0.0002121869329130277, "learning_rate": 0.0001, "seconds": 3.0994052180000153, "elapsed_training_seconds": 186.9125642759999}
{"update": 61, "examples_seen": 488, "supervised_tokens": 1419, "loss": 1.4123787650532904e-05, "gradient_norm": 0.00023763276112731546, "learning_rate": 0.0001, "seconds": 3.2477926520000437, "elapsed_training_seconds": 190.161731304}
{"update": 62, "examples_seen": 496, "supervised_tokens": 1403, "loss": 1.5836101738386787e-05, "gradient_norm": 0.0003717440413311124, "learning_rate": 0.0001, "seconds": 3.1244140840000227, "elapsed_training_seconds": 193.287480191}
{"update": 63, "examples_seen": 504, "supervised_tokens": 1631, "loss": 1.72686850419268e-05, "gradient_norm": 0.0003907931677531451, "learning_rate": 0.0001, "seconds": 3.166249541999946, "elapsed_training_seconds": 196.455180219}
{"update": 64, "examples_seen": 512, "supervised_tokens": 1462, "loss": 2.4379065280299983e-05, "gradient_norm": 0.0008783360826782882, "learning_rate": 0.0001, "seconds": 3.346102064999968, "elapsed_training_seconds": 199.802483424}
{"update": 65, "examples_seen": 520, "supervised_tokens": 1472, "loss": 2.6657568241716945e-05, "gradient_norm": 0.001668764976784587, "learning_rate": 0.0001, "seconds": 3.1970361820000335, "elapsed_training_seconds": 203.00116730799994}
{"update": 66, "examples_seen": 528, "supervised_tokens": 1503, "loss": 2.2114806370154838e-05, "gradient_norm": 0.0013745639007538557, "learning_rate": 0.0001, "seconds": 3.271932207999953, "elapsed_training_seconds": 206.27465868499996}
{"update": 67, "examples_seen": 536, "supervised_tokens": 1514, "loss": 1.5073760323502938e-05, "gradient_norm": 0.00023539857647847384, "learning_rate": 0.0001, "seconds": 3.1236101069999904, "elapsed_training_seconds": 209.39961325499996}
{"update": 68, "examples_seen": 544, "supervised_tokens": 1339, "loss": 2.2093993038652116e-05, "gradient_norm": 0.0011009183945134282, "learning_rate": 0.0001, "seconds": 3.1299901969999837, "elapsed_training_seconds": 212.53122618299994}
{"update": 69, "examples_seen": 552, "supervised_tokens": 1527, "loss": 1.3745174555879203e-05, "gradient_norm": 0.00027647349634207785, "learning_rate": 0.0001, "seconds": 3.286797066999952, "elapsed_training_seconds": 215.81960936899998}
{"update": 70, "examples_seen": 560, "supervised_tokens": 1277, "loss": 1.2429348203113477e-05, "gradient_norm": 0.0002161422453355044, "learning_rate": 0.0001, "seconds": 2.860917061000009, "elapsed_training_seconds": 218.68200057699994}
{"update": 71, "examples_seen": 568, "supervised_tokens": 1350, "loss": 2.6508609266784333e-05, "gradient_norm": 0.001467023161239922, "learning_rate": 0.0001, "seconds": 3.122757886000045, "elapsed_training_seconds": 221.80666867999992}
{"update": 72, "examples_seen": 576, "supervised_tokens": 1602, "loss": 2.6458874344825745e-05, "gradient_norm": 0.0017722847405821085, "learning_rate": 0.0001, "seconds": 3.2655084529999385, "elapsed_training_seconds": 225.07341980599995}
{"update": 73, "examples_seen": 584, "supervised_tokens": 1516, "loss": 1.2609296163645922e-05, "gradient_norm": 0.0002258638123748824, "learning_rate": 0.0001, "seconds": 3.138432046999924, "elapsed_training_seconds": 228.21354804499992}
{"update": 74, "examples_seen": 592, "supervised_tokens": 1272, "loss": 1.2408817383402493e-05, "gradient_norm": 0.00016387979849241674, "learning_rate": 0.0001, "seconds": 3.0978990639999893, "elapsed_training_seconds": 231.31278257399993}
{"update": 75, "examples_seen": 600, "supervised_tokens": 1385, "loss": 0.0004279531328847952, "gradient_norm": 0.04100193455815315, "learning_rate": 0.0001, "seconds": 2.9934936759999573, "elapsed_training_seconds": 234.30753947999995}
{"update": 76, "examples_seen": 608, "supervised_tokens": 1394, "loss": 1.3019018638260604e-05, "gradient_norm": 0.00020011590095236897, "learning_rate": 0.0001, "seconds": 3.145466613999929, "elapsed_training_seconds": 237.45446919099993}
{"update": 77, "examples_seen": 616, "supervised_tokens": 1493, "loss": 1.7783988482733548e-05, "gradient_norm": 0.0003382910799700767, "learning_rate": 0.0001, "seconds": 3.2658054329999686, "elapsed_training_seconds": 240.7223334539999}
{"update": 78, "examples_seen": 624, "supervised_tokens": 1511, "loss": 0.0006729413410084817, "gradient_norm": 0.04135414958000183, "learning_rate": 0.0001, "seconds": 2.867134067000052, "elapsed_training_seconds": 243.59079977299996}
{"update": 79, "examples_seen": 632, "supervised_tokens": 1675, "loss": 2.9791278848279035e-05, "gradient_norm": 0.001879811636172235, "learning_rate": 0.0001, "seconds": 3.210015766999959, "elapsed_training_seconds": 246.8026019849999}
{"update": 80, "examples_seen": 640, "supervised_tokens": 1300, "loss": 1.1513280242070323e-05, "gradient_norm": 0.00017886310524772853, "learning_rate": 0.0001, "seconds": 3.0180568189999804, "elapsed_training_seconds": 249.82198711599995}
{"update": 81, "examples_seen": 648, "supervised_tokens": 1603, "loss": 1.6118289750011172e-05, "gradient_norm": 0.0004051153373438865, "learning_rate": 0.0001, "seconds": 3.1732790790000536, "elapsed_training_seconds": 252.99655411699996}
{"update": 82, "examples_seen": 656, "supervised_tokens": 1279, "loss": 2.69685129978825e-05, "gradient_norm": 0.0010517232585698366, "learning_rate": 0.0001, "seconds": 2.8162078839999367, "elapsed_training_seconds": 255.81440233299998}
{"update": 83, "examples_seen": 664, "supervised_tokens": 1419, "loss": 0.0026764176418510033, "gradient_norm": 0.08928653597831726, "learning_rate": 0.0001, "seconds": 3.2590299619999996, "elapsed_training_seconds": 259.0747827189999}
{"update": 84, "examples_seen": 672, "supervised_tokens": 1578, "loss": 1.6618182939964754e-05, "gradient_norm": 0.0005935513763688505, "learning_rate": 0.0001, "seconds": 3.1766539529999136, "elapsed_training_seconds": 262.25298315}
{"update": 85, "examples_seen": 680, "supervised_tokens": 1524, "loss": 2.2417511672756518e-05, "gradient_norm": 0.000767621211707592, "learning_rate": 0.0001, "seconds": 3.1927111440001, "elapsed_training_seconds": 265.44719086199996}
{"update": 86, "examples_seen": 688, "supervised_tokens": 1513, "loss": 0.00026385492719782633, "gradient_norm": 0.017376484349370003, "learning_rate": 0.0001, "seconds": 3.312641491999898, "elapsed_training_seconds": 268.76139485299996}
{"update": 87, "examples_seen": 696, "supervised_tokens": 1508, "loss": 1.701578207757848e-05, "gradient_norm": 0.00030573541880585253, "learning_rate": 0.0001, "seconds": 3.1277617619999774, "elapsed_training_seconds": 271.89066494199994}
{"update": 88, "examples_seen": 704, "supervised_tokens": 1549, "loss": 1.596872311893094e-05, "gradient_norm": 0.00041468319250270724, "learning_rate": 0.0001, "seconds": 3.2634904459999916, "elapsed_training_seconds": 275.15550222799993}
{"update": 89, "examples_seen": 712, "supervised_tokens": 1472, "loss": 6.848179771168361e-05, "gradient_norm": 0.0038528151344507933, "learning_rate": 0.0001, "seconds": 2.8450297319999436, "elapsed_training_seconds": 278.00209825499996}
{"update": 90, "examples_seen": 720, "supervised_tokens": 1539, "loss": 4.1559295141269104e-05, "gradient_norm": 0.001919533358886838, "learning_rate": 0.0001, "seconds": 3.1814888640000163, "elapsed_training_seconds": 281.184937141}
{"update": 91, "examples_seen": 728, "supervised_tokens": 1453, "loss": 0.0005185628633626038, "gradient_norm": 0.0436532162129879, "learning_rate": 0.0001, "seconds": 3.2173973830000477, "elapsed_training_seconds": 284.40380422499993}
